127.0.0.1 - - [25/Jun/2017:18:25:31 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:25:31 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:25:58 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:28:51 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:32:00 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:50:03 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:51:10 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:51:18 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [25/Jun/2017:18:51:29 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:08:34 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:09:09 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:09:35 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:10:16 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:10:28 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:13:07 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:13:39 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:18:41 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:45:04 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:50:55 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:55:41 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2017:19:57:39 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [25/Jun/2017:20:02:14 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [25/Jun/2017:20:04:52 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [25/Jun/2017:20:09:10 -0400] "GET /WelcomeToAngular/index.html HTTP/1.1" 200 2174
