2017-06-26 12:15:59,832 [Worker-184] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:15:59,838 [Worker-184] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 12:15:59,848 [Worker-184] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:15:59,853 [Worker-184] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 12:30:19,123 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:30:19,130 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 12:30:19,131 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:30:19,138 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 12:36:13,361 [Worker-209] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:36:13,371 [Worker-209] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 12:36:13,378 [Worker-209] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:36:13,383 [Worker-209] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 12:40:24,517 [Worker-218] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:40:24,539 [Worker-218] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 12:40:24,540 [Worker-218] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:40:24,564 [Worker-218] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 12:55:13,105 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle.ojdbc:ojdbc:jar:12.1.0.1 is missing, no dependency information available
2017-06-26 12:55:14,791 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 12:55:14,805 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
